id,DATE,PCC_SITENAME,PCC_AUDIENCE,PCC_UNIT_TYPE,PCC_PLATFORM_DEVICE,CREATIVE_NAME,CREATIVE_TYPE,CREATIVE_PLACEMENT,CAMPAIGN_GROUP,HEADLINE,BODY,COST,CLICKS,IMPRESSIONS,ENGAGEMENTS,LIKES,SHARES,LEADS,FOLLOWS,COMMENTS,REACTIONS,LANDING_PAGE_CLICKS,
1,5/25/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
2,5/25/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
3,5/25/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0,
4,5/24/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,5,0,0,0,0,0,0,0,0,
5,5/26/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,5,0,0,0,0,0,0,0,0,
6,5/26/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,7,0,2,0,0,0,0,0,0,
7,5/26/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,523,0,0,0,5,0,5,0,0,
8,5/26/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,1119,0,0,0,0,0,0,0,0,
9,5/27/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,55,0,0,0,0,0,0,0,0,
10,5/27/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,5,0,0,0,0,0,0,5,0,
11,5/27/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,516,0,0,0,0,0,0,0,0,
12,5/27/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,8,0,0,0,0,0,0,0,0,
13,5/29/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,8,0,0,5,0,0,0,0,0,
14,5/29/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,8,46,0,0,0,0,0,0,0,5,
15,5/29/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,184,0,0,0,0,0,0,0,0,
16,5/29/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,3,0,0,0,0,45,0,0,0,
17,5/31/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,203,0,0,0,0,0,0,0,0,
18,5/31/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,7,0,2,0,0,0,0,0,0,0,0,
19,5/31/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,55,0,0,0,0,0,0,0,0,
20,5/31/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,6,0,0,0,0,0,0,0,0,
21,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,56,0,0,0,0,0,0,0,0,
22,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,82,0,0,0,0,0,0,0,0,
23,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,174,0,0,0,5,0,5,0,0,
24,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,6835,0,0,0,0,0,0,0,0,
25,5/28/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,326,0,0,0,0,0,0,0,0,
26,5/28/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,220,0,0,0,0,0,0,0,0,
27,5/28/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,301,0,0,0,0,0,0,0,0,
